mid_date,start_date,end_date,volume,elevation,alongshore_centroid_m,alongshore_start_m,alongshore_end_m,width,height,vol_unc,month,qc_flag
2021-07-27,2021-07-14,2021-08-09,688.5357154161708,10.937787496968705,626.1314687079561,611.497978144791,638.3469912484288,26.849013103637844,9.75,0.33691191224915,7,construction
2018-10-03,2018-10-02,2018-10-05,604.7157540941419,18.522001531940333,1442.273127147522,1430.6816823668778,1459.41785791656,28.73617554968223,15.0,0.4432554653603998,10,real
2025-04-04,2025-04-01,2025-04-08,473.8853081868981,18.183414092852693,1522.9031580866413,1508.0907120988704,1535.8068846999668,27.71617260109633,11.75,0.328824348274252,4,real
2021-08-26,2021-08-09,2021-09-13,377.5262673373503,7.997977577201546,643.9992990671908,633.9587941402569,660.7007126128301,26.74191847257316,14.0,0.3446587366649026,8,construction
2021-02-22,2021-02-08,2021-03-09,366.9296368037006,5.443944981022658,646.4318088187476,641.7282193172723,650.9725694097579,9.244350092485549,4.5,0.2728913881747175,2,construction
2018-09-29,2018-09-26,2018-10-02,360.1083310548353,19.07942760828236,1456.5144812922588,1447.433612935245,1466.4676578892395,19.034044953994453,13.5,0.339727984923897,9,real
2019-02-17,2019-02-15,2019-02-19,336.3794901053436,18.561769282803148,1378.7988455875704,1375.5735085895285,1383.4953650617972,7.921856472268701,16.5,0.3976749988903236,2,real
2021-08-26,2021-08-09,2021-09-13,278.35751223089443,9.489484573531165,629.2225523423319,617.6229639826342,637.3711438076571,19.748179825022817,8.25,0.2482941269661077,8,construction
2020-09-03,2020-08-20,2020-09-18,263.85358511272665,18.12230186099634,1406.0920635558618,1399.099034936633,1413.7056889939122,14.60665405727923,17.25,0.3352188004232485,9,unreviewed
2021-02-22,2021-02-08,2021-03-09,252.12197563690387,15.745974644025432,643.6444501776944,638.6539219417609,646.5465683778748,7.892646436113864,7.5,0.22372988111643,2,unreviewed
2017-05-03,2017-04-20,2017-05-17,243.87413674863168,17.33689298298538,1467.6668164690211,1453.51371524157,1478.1911488827318,24.67743364116177,13.5,0.3655173374583362,5,unreviewed
2025-07-06,2025-07-01,2025-07-11,225.41112831099304,9.415980035656064,1767.1442350399957,1743.511433981359,1796.6480053937994,53.13657141244039,9.75,0.425330289443125,7,unreviewed
2018-12-07,2018-12-04,2018-12-10,213.61780163445383,20.64950331140705,1431.491321545157,1422.2826504600234,1442.2346704690715,19.952020009048283,8.5,0.2818541662129236,12,unreviewed
2018-08-19,2018-08-14,2018-08-24,203.43568533483096,17.277203577096063,1625.3292510576807,1613.7854798426852,1634.5324652036652,20.746985360980037,9.75,0.2169126773851483,8,unreviewed
2021-03-30,2021-03-09,2021-04-21,176.80522512249942,5.7722297756886585,645.823083047997,639.6321254218929,650.9725694097579,11.340443987865,5.0,0.2171519290761154,3,unreviewed
2025-08-01,2025-07-28,2025-08-05,169.82473670576843,7.322158602974776,2048.189520218405,2011.9973481362688,2074.2274317536503,62.23008361738175,5.75,0.2957949526972142,8,unreviewed
2017-07-05,2017-06-28,2017-07-13,158.08868126499152,16.855725907017554,1483.346001680897,1474.8027436775155,1491.8025137637742,16.99977008625865,15.0,0.2383603932479919,7,unreviewed
2019-03-18,2019-03-15,2019-03-21,148.07368378125378,16.799475106461358,1636.7837595710375,1629.4663422731685,1642.733207552228,13.266865279059855,11.5,0.2338483721753183,3,unreviewed
2023-01-05,2023-01-04,2023-01-06,119.2517159063108,4.605443701704559,691.8584570724439,664.8296614550054,727.9279562900774,63.09829483507201,4.5,0.3336895371855628,1,unreviewed
2019-11-29,2019-11-26,2019-12-02,107.93572767887952,10.58979174849859,1343.7440280263422,1337.6525257723406,1349.117278158199,11.464752385858446,9.25,0.2368104259588237,11,unreviewed
2021-03-30,2021-03-09,2021-04-21,107.46880979743146,19.48619599865377,644.97011885461,641.0380298011005,649.2609809474088,8.222951146308333,3.5,0.3012236836651928,3,unreviewed
2025-06-07,2025-06-02,2025-06-13,106.66478497608163,13.954668237004608,2033.5416577413591,2018.3102609645573,2044.4790159915572,26.16875502699986,4.25,0.1627873447409021,6,unreviewed
